frame,track_id,x1,y1,x2,y2,keypoints
24,3,251,644,488,756,"[[[270.958251953125, 677.016845703125], [273.101806640625, 672.9154052734375], [269.5518493652344, 674.6220703125], [285.1585693359375, 671.0316772460938], [0.0, 0.0], [295.0584411621094, 678.8167114257812], [293.25128173828125, 685.3638916015625], [322.94476318359375, 686.803466796875], [339.1954345703125, 697.5457763671875], [342.6980895996094, 683.75927734375], [355.5941467285156, 681.6399536132812], [348.01275634765625, 698.337890625], [344.5626220703125, 706.4537353515625], [409.8568115234375, 706.16845703125], [413.2098693847656, 713.4806518554688], [465.6734924316406, 720.3411254882812], [469.4273681640625, 725.2559204101562]]]"
25,1,211,637,515,887,"[[[274.2957458496094, 679.3524169921875], [274.4811096191406, 674.031494140625], [270.9836120605469, 677.1444091796875], [282.8309326171875, 669.45068359375], [0.0, 0.0], [299.0156555175781, 671.8124389648438], [284.9869384765625, 689.4328002929688], [344.41619873046875, 668.4457397460938], [310.1041564941406, 703.5181274414062], [348.771728515625, 666.5638427734375], [324.6534118652344, 691.0272216796875], [348.56109619140625, 696.5545043945312], [338.48406982421875, 709.0303344726562], [400.6785888671875, 712.918212890625], [396.8932189941406, 724.813720703125], [449.22705078125, 725.4859008789062], [446.43011474609375, 737.7518920898438]]]"
25,3,247,644,489,759,"[[[274.2957458496094, 679.3524169921875], [274.4811096191406, 674.031494140625], [270.9836120605469, 677.1444091796875], [282.8309326171875, 669.45068359375], [0.0, 0.0], [299.0156555175781, 671.8124389648438], [284.9869384765625, 689.4328002929688], [344.41619873046875, 668.4457397460938], [310.1041564941406, 703.5181274414062], [348.771728515625, 666.5638427734375], [324.6534118652344, 691.0272216796875], [348.56109619140625, 696.5545043945312], [338.48406982421875, 709.0303344726562], [400.6785888671875, 712.918212890625], [396.8932189941406, 724.813720703125], [449.22705078125, 725.4859008789062], [446.43011474609375, 737.7518920898438]]]"
26,1,209,641,515,892,"[[[272.1295166015625, 679.8743896484375], [272.0027160644531, 674.5454711914062], [268.9797668457031, 677.8699340820312], [281.06256103515625, 670.2188720703125], [0.0, 0.0], [300.988525390625, 672.873779296875], [290.6194152832031, 690.917236328125], [355.25946044921875, 667.8460693359375], [333.632568359375, 701.7216186523438], [358.4393310546875, 660.354248046875], [344.46624755859375, 677.377197265625], [353.4737243652344, 699.7723388671875], [345.39544677734375, 712.1021728515625], [391.8309326171875, 720.0610961914062], [390.0220031738281, 731.9954223632812], [447.61041259765625, 730.5615234375], [446.3785705566406, 742.9528198242188]]]"
26,3,241,642,491,762,"[[[272.1295166015625, 679.8743896484375], [272.0027160644531, 674.5454711914062], [268.9797668457031, 677.8699340820312], [281.06256103515625, 670.2188720703125], [0.0, 0.0], [300.988525390625, 672.873779296875], [290.6194152832031, 690.917236328125], [355.25946044921875, 667.8460693359375], [333.632568359375, 701.7216186523438], [358.4393310546875, 660.354248046875], [344.46624755859375, 677.377197265625], [353.4737243652344, 699.7723388671875], [345.39544677734375, 712.1021728515625], [391.8309326171875, 720.0610961914062], [390.0220031738281, 731.9954223632812], [447.61041259765625, 730.5615234375], [446.3785705566406, 742.9528198242188]]]"
27,1,206,644,515,897,"[[[281.49591064453125, 677.7327880859375], [279.22906494140625, 672.7965087890625], [278.07470703125, 676.488037109375], [284.7965393066406, 669.7748413085938], [0.0, 0.0], [302.6651611328125, 675.084228515625], [302.0804748535156, 691.6854248046875], [352.1325378417969, 668.8953247070312], [355.72760009765625, 697.855224609375], [363.8689270019531, 663.560302734375], [372.6449279785156, 668.7970581054688], [363.7708435058594, 705.1359252929688], [361.5982666015625, 717.332275390625], [396.23114013671875, 718.8834228515625], [397.6365051269531, 730.722412109375], [447.93115234375, 734.5553588867188], [449.0154724121094, 747.3822631835938]]]"
27,3,234,638,494,764,"[[[281.49591064453125, 677.7327880859375], [279.22906494140625, 672.7965087890625], [278.07470703125, 676.488037109375], [284.7965393066406, 669.7748413085938], [0.0, 0.0], [302.6651611328125, 675.084228515625], [302.0804748535156, 691.6854248046875], [352.1325378417969, 668.8953247070312], [355.72760009765625, 697.855224609375], [363.8689270019531, 663.560302734375], [372.6449279785156, 668.7970581054688], [363.7708435058594, 705.1359252929688], [361.5982666015625, 717.332275390625], [396.23114013671875, 718.8834228515625], [397.6365051269531, 730.722412109375], [447.93115234375, 734.5553588867188], [449.0154724121094, 747.3822631835938]]]"
28,1,204,647,514,902,"[[[279.58966064453125, 674.7041015625], [277.19512939453125, 668.5625], [272.9131774902344, 673.27880859375], [281.6949462890625, 665.8661499023438], [0.0, 0.0], [309.63818359375, 670.571533203125], [294.0660705566406, 695.838134765625], [363.1191711425781, 672.7584838867188], [342.224609375, 719.0513916015625], [357.72198486328125, 679.403076171875], [362.082275390625, 699.52685546875], [389.914794921875, 699.1484375], [376.0220947265625, 715.4871826171875], [411.28021240234375, 705.3513793945312], [400.13006591796875, 722.0567626953125], [424.81060791015625, 728.6632080078125], [412.0289001464844, 747.3556518554688]]]"
28,3,231,641,477,761,"[[[279.58966064453125, 674.7041015625], [277.19512939453125, 668.5625], [272.9131774902344, 673.27880859375], [281.6949462890625, 665.8661499023438], [0.0, 0.0], [309.63818359375, 670.571533203125], [294.0660705566406, 695.838134765625], [363.1191711425781, 672.7584838867188], [342.224609375, 719.0513916015625], [357.72198486328125, 679.403076171875], [362.082275390625, 699.52685546875], [389.914794921875, 699.1484375], [376.0220947265625, 715.4871826171875], [411.28021240234375, 705.3513793945312], [400.13006591796875, 722.0567626953125], [424.81060791015625, 728.6632080078125], [412.0289001464844, 747.3556518554688]]]"
29,1,201,650,514,907,"[[[281.2160949707031, 676.131103515625], [280.8298034667969, 669.3766479492188], [275.4122009277344, 674.9808959960938], [291.17718505859375, 666.98681640625], [275.27935791015625, 680.738525390625], [317.13299560546875, 674.666015625], [294.14959716796875, 701.9631958007812], [387.4235534667969, 678.8275756835938], [343.1475524902344, 727.6669921875], [425.7213134765625, 693.6726684570312], [382.2364196777344, 705.9943237304688], [381.08154296875, 703.0044555664062], [363.2913513183594, 720.3785400390625], [418.4035949707031, 692.8103637695312], [391.7622375488281, 710.3406372070312], [444.2143249511719, 707.4551391601562], [414.0413513183594, 728.0698852539062]]]"
