frame,track_id,x1,y1,x2,y2,keypoints
13,2,804,129,912,234,"[[[855.3740844726562, 146.10687255859375], [857.4564208984375, 143.5133056640625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [879.724853515625, 151.9484405517578], [849.8604125976562, 152.20623779296875], [891.5328369140625, 164.33795166015625], [827.8892822265625, 165.560546875], [883.0437622070312, 169.53744506835938], [817.3143920898438, 183.98086547851562], [893.1325073242188, 180.88204956054688], [873.4844360351562, 180.5880889892578], [875.9011840820312, 186.0360107421875], [851.0206298828125, 184.7647247314453], [894.0139770507812, 215.76849365234375], [869.55517578125, 212.88523864746094]]]"
13,4,-31,309,156,449,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [35.54722213745117, 321.9477233886719], [38.60343933105469, 341.369384765625], [27.209674835205078, 341.7140197753906], [67.54090881347656, 357.5018310546875], [57.5614013671875, 363.40802001953125], [98.26023864746094, 364.4263000488281], [94.70965576171875, 364.1393127441406], [37.59062194824219, 398.90631103515625], [28.414424896240234, 402.45611572265625], [99.17253112792969, 401.76019287109375], [89.84617614746094, 406.4550476074219], [92.6491928100586, 440.95709228515625], [84.07099151611328, 447.3630065917969]]]"
13,6,-6,300,132,451,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [35.54722213745117, 321.9477233886719], [38.60343933105469, 341.369384765625], [27.209674835205078, 341.7140197753906], [67.54090881347656, 357.5018310546875], [57.5614013671875, 363.40802001953125], [98.26023864746094, 364.4263000488281], [94.70965576171875, 364.1393127441406], [37.59062194824219, 398.90631103515625], [28.414424896240234, 402.45611572265625], [99.17253112792969, 401.76019287109375], [89.84617614746094, 406.4550476074219], [92.6491928100586, 440.95709228515625], [84.07099151611328, 447.3630065917969]]]"
14,1,735,320,888,442,"[[[848.28125, 146.87649536132812], [850.4116821289062, 144.13107299804688], [0.0, 0.0], [856.2341918945312, 144.536376953125], [0.0, 0.0], [871.4036254882812, 152.8947296142578], [838.3768310546875, 153.01318359375], [887.2332153320312, 165.28839111328125], [819.0828857421875, 164.8089599609375], [880.7179565429688, 172.75375366210938], [809.97021484375, 180.2120819091797], [877.4907836914062, 180.13299560546875], [856.1361694335938, 179.7348175048828], [867.1751098632812, 190.51226806640625], [840.3662109375, 189.4334716796875], [882.8831176757812, 215.39198303222656], [857.3895263671875, 213.20547485351562]]]"
14,2,794,130,901,234,"[[[848.28125, 146.87649536132812], [850.4116821289062, 144.13107299804688], [0.0, 0.0], [856.2341918945312, 144.536376953125], [0.0, 0.0], [871.4036254882812, 152.8947296142578], [838.3768310546875, 153.01318359375], [887.2332153320312, 165.28839111328125], [819.0828857421875, 164.8089599609375], [880.7179565429688, 172.75375366210938], [809.97021484375, 180.2120819091797], [877.4907836914062, 180.13299560546875], [856.1361694335938, 179.7348175048828], [867.1751098632812, 190.51226806640625], [840.3662109375, 189.4334716796875], [882.8831176757812, 215.39198303222656], [857.3895263671875, 213.20547485351562]]]"
14,4,-35,310,151,449,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [35.04093933105469, 315.8927307128906], [5.557853698730469, 338.8749084472656], [40.41606521606445, 337.9869689941406], [29.92177963256836, 358.5693054199219], [76.43733215332031, 356.7922668457031], [0.0, 0.0], [97.1484375, 360.5126953125], [9.194465637207031, 400.75799560546875], [33.824607849121094, 401.8734436035156], [54.022823333740234, 404.38739013671875], [87.3570556640625, 404.061767578125], [60.75920486450195, 441.922119140625], [102.68293762207031, 442.25408935546875]]]"
14,6,-3,295,138,451,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [35.04093933105469, 315.8927307128906], [5.557853698730469, 338.8749084472656], [40.41606521606445, 337.9869689941406], [29.92177963256836, 358.5693054199219], [76.43733215332031, 356.7922668457031], [0.0, 0.0], [97.1484375, 360.5126953125], [9.194465637207031, 400.75799560546875], [33.824607849121094, 401.8734436035156], [54.022823333740234, 404.38739013671875], [87.3570556640625, 404.061767578125], [60.75920486450195, 441.922119140625], [102.68293762207031, 442.25408935546875]]]"
15,1,725,322,876,443,"[[[839.707763671875, 144.4465789794922], [841.8516845703125, 141.95028686523438], [838.4221801757812, 142.00994873046875], [847.4815063476562, 142.46133422851562], [0.0, 0.0], [859.3538208007812, 151.55433654785156], [829.2037963867188, 150.73208618164062], [874.4132690429688, 164.08926391601562], [804.7642822265625, 162.5469970703125], [870.7815551757812, 171.462158203125], [795.3695068359375, 181.69935607910156], [864.0929565429688, 180.75144958496094], [844.799560546875, 179.9860076904297], [857.2881469726562, 187.0936279296875], [830.6883544921875, 185.50360107421875], [874.4985961914062, 211.4013214111328], [848.2158203125, 208.94467163085938]]]"
15,2,785,129,891,233,"[[[839.707763671875, 144.4465789794922], [841.8516845703125, 141.95028686523438], [838.4221801757812, 142.00994873046875], [847.4815063476562, 142.46133422851562], [0.0, 0.0], [859.3538208007812, 151.55433654785156], [829.2037963867188, 150.73208618164062], [874.4132690429688, 164.08926391601562], [804.7642822265625, 162.5469970703125], [870.7815551757812, 171.462158203125], [795.3695068359375, 181.69935607910156], [864.0929565429688, 180.75144958496094], [844.799560546875, 179.9860076904297], [857.2881469726562, 187.0936279296875], [830.6883544921875, 185.50360107421875], [874.4985961914062, 211.4013214111328], [848.2158203125, 208.94467163085938]]]"
15,4,-40,310,145,448,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [23.219316482543945, 334.04827880859375], [23.272497177124023, 333.3050537109375], [60.32550048828125, 353.0536804199219], [51.528839111328125, 355.592041015625], [80.23944854736328, 353.0885009765625], [73.9052963256836, 355.4869689941406], [20.018646240234375, 391.6471252441406], [20.696897506713867, 392.80615234375], [61.71443176269531, 404.7372131347656], [68.55885314941406, 405.5094299316406], [79.87457275390625, 443.0557556152344], [90.89848327636719, 444.9474182128906]]]"
